Group,Ideology,Website,ExternalLinksToSite,OwnersOtherDomains,SiteDescription,OnlineSince,SiteTitle,ThreeMonthAvgUSRank,PageViewsPerMillion,PageViewsPerUser,ContributingSubdomains
ProEnglish,Anti-Immigrant,http://www.proenglish.org,112,"{u'OwnedDomain': [{u'Domain': u'numberusa.com', u'Title': u'numberusa.com'}, {u'Domain': u'numberusa.org', u'Title': u'numberusa.org'}, {u'Domain': u'reformus.org', u'Title': u'reformus.org'}, {u'Domain': u'sprawlcity.org', u'Title': u'sprawlcity.org'}]}","The nation's leading legal advocates for English. News, resources, projects, court cases.",15-Sep-1999,"ProEnglish, the English Language Advocates",5230698,0,1,
Probe Ministries,Anti-LGBT,http://www.probe.org,898,"{u'OwnedDomain': {u'Domain': u'evidenceandanswers.com', u'Title': u'evidenceandanswers.com'}}",Information on the ministry and its programs as well as answers to hundreds of questions and issues relating to various aspects of theology and modern culture.,11-Oct-1996,Probe Ministries,335542,0.06,1.2,DataUrl
"Providence Road Baptist Church, NC",Anti-LGBT,http://www.prbcnc.com,13,,,,prbcnc.com/,,,,
"Pray in Jesus Name Project, the",Anti-LGBT,http://www.prayinjesusname.org,88,,,,prayinjesusname.org/,3480217,0,1,
Nation of Islam,Black Nationalist,http://www.pghmosque22.org/,1,,,,pghmosque22.org/,12416682,0,2,
Center for Perpetual Diversity,White Nationalist,http://www.perpetualdiversity.com/,6,"{u'OwnedDomain': [{u'Domain': u'mcwebmaster.com', u'Title': u'mcwebmaster.com'}, {u'Domain': u'scot.us', u'Title': u'scot.us'}]}",,10-Sep-2003,perpetualdiversity.com/,,,,
Pilgrims Covenant Church (WI),Anti-LGBT,http://www.pccmonroe.org,42,,,,pccmonroe.org/,4098024,0,3,
Parasitic Records,Hate Music & Neo-Nazi,http://www.parasiticrecords.bigcartel.com/,26,,,,parasiticrecords.bigcartel.com/,2952646,0,1.6,DataUrl
Pacific Justice Institute,Anti-LGBT,http://www.pacificjustice.org,364,,Non-profit legal defense organization defending parental rights and religious freedom,10-Oct-1997,Pacific Justice Institute,2454907,0,1.3,DataUrl
OMNI Christian Book Club,Rad Catholics,http://www.omnicbc.com/,115,,,18-Aug-1999,Omni Christian Book Club,7580522,0,3,
Occidental Dissent,Neo-Confederate,http://www.occidentaldissent.com/,885,,,,occidentaldissent.com/,116573,0.3,1.8,DataUrl
Occidental Dissent,White Nationalist,http://www.occidentaldissent.com/,885,,,,occidentaldissent.com/,116573,0.3,1.8,DataUrl
New Yorkers for Immigration Control and Enforcement,Anti-Immigrant,http://www.nyice.us,46,,,,nyice.us/,6495954,0,2,
Nuclear War Now Productions,Hate Music & Neo-Nazi,http://www.nwnprod.com/forum/viewforum.php?f=2,405,,,16-Nov-2005,Nuclear War Now! Productions,107023,0.83,6.6,DataUrl
Nuclear War Now Productions,Hate Music & Neo-Nazi,http://www.nwnprod.com/,405,,,16-Nov-2005,Nuclear War Now! Productions,107023,0.83,6.6,DataUrl
National Socialist Movement,Hate Music & Neo-Nazi,http://www.nsm88.org/,230,,"The NSM organization is the largest and most active National Socialist movement in America. The NSM’s core beliefs include defending the rights of white people, preservation of white culture and heritage, reform of illegal immigration policies, withdrawal",,NSM | The National Socialist Movement,707379,0.04,2.2,"nsm88.org, OTHER"
NS88 Video Division,Hate Music & Neo-Nazi,http://www.ns88.com/,48,"{u'OwnedDomain': [{u'Domain': u'ainaskin.com', u'Title': u'ainaskin.com'}, {u'Domain': u'bloodandhonour-usa.com', u'Title': u'bloodandhonour-usa.com'}, {u'Domain': u'bloodandhonour.net', u'Title': u'bloodandhonour.net'}, {u'Domain': u'combat18.org', u'Title': u'combat18.org'}, {u'Domain': u'girlsyouth.com', u'Title': u'girlsyouth.com'}, {u'Domain': u'isdrecords.com', u'Title': u'isdrecords.com'}, {u'Domain': u'kriegsberichter.com', u'Title': u'kriegsberichter.com'}, {u'Domain': u'ns88.org', u'Title': u'ns88.org'}, {u'Domain': u'salemfonden.info', u'Title': u'salemfonden.info'}, {u'Domain': u'skrewdriverdvd.com', u'Title': u'skrewdriverdvd.com'}]}",When filming we try to use up to 3 different cameras to ensure optimal video editing when producing a NS88 release. ... NS88 specialized in filming White Power concerts in the effort to offer people the ability to view their favorites bands who could not otherwise travel abroad to see them. Since then NS88 with the cooperation and expertise of AINASKIN have moved forward and now produce many other videos of interest such as the famous ...,08-Aug-2001,Ns88.com,9008249,0,1,
NPI,White Nationalist,http://www.npiamerica.org/,391,,,,npiamerica.org/,789579,0.02,1.2,
Nordic Order Knights,KKK,http://www.nok311.com/,,,,,nok311.com/,,,,
Nation of Islam,Black Nationalist,http://www.noirockford.com/,,,,,noirockford.com/,,,,
Nation of Islam,Black Nationalist,http://www.noimosque32.com/,1,,,,noimosque32.com/,,,,
Nation of Islam,Black Nationalist,http://www.noigrandrapids.com/,1,,,,noigrandrapids.com/,,,,
Nation of Islam,Black Nationalist,http://www.noidetroit.org/,1,,,,noidetroit.org/,,,,
Nation of Islam,Black Nationalist,http://www.noidallas.org/,6,,"Nation of Islam. Meetings, events and ministries.",,Muhammad Mosque No. 48,15455044,0,1,
Nation of Islam,Black Nationalist,http://www.noicharlestonsc.org/,1,,,,noicharlestonsc.org/,11607388,0,2,
National Coalition for Immigration Reform,Anti-Immigrant,http://www.nciraction.org,1,,,,nciraction.org/,12166442,0,2,
New Black Panther Party,Black Nationalist,http://www.nbpp.org/,12,,,,nbpp.org/,6196816,0,1,
National Alliance Reform and Restoration Group,Hate Music & Neo-Nazi,http://www.narrg.com/,20,,,,narrg.com/,18195178,0,1,
Most Holy Family Monastery,Rad Catholics,http://www.mostholyfamilymonastery.com/,894,,"Dedicated to promoting the Catholic Faith that never changes. Exposes the Modernist heretics. Questions and answers, heresy of the week, photo galleries.",15-Mar-2000,Most Holy Family Monastery,149766,0.58,10,DataUrl
Nation of Islam,Black Nationalist,http://www.mosque36.com/,1,,,,mosque36.com/,,,,
Nation of Islam,Black Nationalist,http://www.mosque34.org/,2,,,,mosque34.org/,,,,
Mission to Israel,Christian Identity,http://www.missiontoisrael.org/,99,,,13-Apr-1998,missiontoisrael.org/,2244201,0.01,1.6,DataUrl
Mission: America,Anti-LGBT,http://www.missionamerica.com,159,,"Network of parents and others concerned about the promotion of homosexuality in our schools, where information is often provided that is inaccurate and high-risk, and where attempts are being made to stifle free speech by calling it harassment.",10-Jun-1997,Mission America,14151704,0,6,
Micetrap Distribution,Hate Music & Neo-Nazi,http://www.micetrap.net/,100,"{u'OwnedDomain': [{u'Domain': u'aryan88.com', u'Title': u'aryan88.com'}, {u'Domain': u'aryanradio.com', u'Title': u'aryanradio.com'}, {u'Domain': u'econac.net', u'Title': u'econac.net'}, {u'Domain': u'kansallissosialismi.com', u'Title': u'kansallissosialismi.com'}, {u'Domain': u'odinsreich.com', u'Title': u'odinsreich.com'}]}","Pro-white CDs, books, videos, flags, and clothing. MP3s. Order by mail.",18-Jul-2000,Micetrap Distribution,2166865,0.01,2.8,
Micetrap Distribution,Hate Music & Neo-Nazi,http://www.micetrap.info/,4,,,,micetrap.info/,,,,
MassResistance Missouri (chapter),Anti-LGBT,http://www.massresistancemo.org,5,,,,massresistancemo.org/,9337742,0,2,
MassResistance,Anti-LGBT,http://www.massresistance.org,811,,"MassResistance officially organized in 1995 as Parents&apos; Rights Coalition , although it had been active both locally and state-wide since 1993. In 2003, under the name Article 8 Alliance , it expanded to issues surrounding the same-sex &quot;marriage&quot; court ruling and its effects in Massachusetts. In 2006, these efforts were consolidated under the new name &quot;MassResistance .&quot; We have been the leading pro-family grassroots activist group in Massachusetts.",21-Apr-2005,MassResistance!,768226,0.02,1.4,DataUrl
Liberty Counsel,Anti-LGBT,http://www.lc.org,883,,"If you are not automatically redirected, please click here to go to the new page. ... Counsel is a nonprofit litigation, education and policy organization dedicated to advancing religious freedom, the sanctity of human life and the traditional family. Established in 1989, Liberty Counsel is a nationwide organization with offices in Florida, Virginia, and Washington, D.C., and hundreds of affiliate attorneys across the Nation. ...",03-May-1996,Lc.org,1341094,0.01,1.2,DataUrl
Label 56,Hate Music & Neo-Nazi,http://www.label56.com/,49,,,,Label 56 - Independent Music for Independent Minds,3516966,0,2,DataUrl
Knights of the White Disciples,KKK,http://www.knightsofthewhitedisciples.com,1,,,,knightsofthewhitedisciples.com/,,,,
Patriotic Brigade Knights of the Ku Klux Klan,KKK,http://www.knightskkk.net/,1,,,,knightskkk.net/,,,,
Loyal White Knights of the Ku Klux Klan,KKK,http://www.kkkknights.com/,120,,,,kkkknights.com/,1197927,0.01,1.1,
Kingdom Identity Ministries,Christian Identity,http://www.kingidentity.com/,97,,"Describing itself as an outreach ministry to God's chosen white European people. Includes doctrinal statement and sales of books, audio, and video tapes.",21-Oct-1996,Kingdom Identity Ministries,3369026,0,2,
Jewish Defense League,General Hate,http://www.jdl.org/,201,"{u'OwnedDomain': [{u'Domain': u'irvrubin.com', u'Title': u'irvrubin.com'}, {u'Domain': u'jewishdefenseleague.org', u'Title': u'jewishdefenseleague.org'}]}",,15-May-1996,jdl.org/,4565277,0,2,
Yahweh's Truth,Christian Identity,http://www.jameswickstrom.com/Blog/,38,,,29-Dec-2001,jameswickstrom.com/Blog,7128630,0,2,
Yahweh's Truth,Christian Identity,http://www.jameswickstrom.com/,38,,,29-Dec-2001,jameswickstrom.com/,7128630,0,2,
Israelite School of Universal Practical Knowledge,Black Nationalist,http://www.isupk.org/,6,,,,isupk.org/,9557385,0,2,
ISD Records,Hate Music & Neo-Nazi,http://www.isdrecords.com/,26,"{u'OwnedDomain': [{u'Domain': u'ainaskin.com', u'Title': u'ainaskin.com'}, {u'Domain': u'bloodandhonour-usa.com', u'Title': u'bloodandhonour-usa.com'}, {u'Domain': u'bloodandhonour.net', u'Title': u'bloodandhonour.net'}, {u'Domain': u'combat18.org', u'Title': u'combat18.org'}, {u'Domain': u'girlsyouth.com', u'Title': u'girlsyouth.com'}, {u'Domain': u'kriegsberichter.com', u'Title': u'kriegsberichter.com'}, {u'Domain': u'ns88.com', u'Title': u'ns88.com'}, {u'Domain': u'ns88.org', u'Title': u'ns88.org'}, {u'Domain': u'salemfonden.info', u'Title': u'salemfonden.info'}, {u'Domain': u'skrewdriverdvd.com', u'Title': u'skrewdriverdvd.com'}]}",,01-Jun-2004,ISD Records,13592638,0,1,
Iron Clad Records,Hate Music & Neo-Nazi,http://www.ironcladrecords.com/,6,,,,ironcladrecords.com/,,,,
Immigration Reform Law Institute,Anti-Immigrant,http://www.irli.org,121,,,,irli.org/,2152909,0.01,1.2,DataUrl
Insight USA,General Hate,http://www.insightusa.us/,4,,,,insightusa.us/,,,,
Inconvenient Truth,Holocaust Denial,http://www.inconvenienthistory.com,237,,,,inconvenienthistory.com/,1615953,0.01,1.8,DataUrl
American Immigration Control Foundation,Anti-Immigrant,http://www.immigrationcontrol.com,58,,,20-Apr-2000,immigrationcontrol.com/,17943386,0,2,
Illinois Family Institute,Anti-LGBT,http://www.illinoisfamily.org,340,,"A non-profit organization that provides resources to families and encourage public policy to support families; features include weekly legislation update, policy watch and resources.",03-Sep-1999,Illinois Family Institute,909568,0.02,1.3,DataUrl
International Keystone Knights of the Ku Klux Klan,KKK,http://www.ikkkkk.org/,9,,,,ikkkkk.org/,4493906,0,3,
III% Security Force,Anti-Muslim,http://www.iiisecurityforce.com/,10,,,,iiisecurityforce.com/,3256688,0,2,DataUrl
IHS Press,Rad Catholics,http://www.ihspress.com/index1.htm,133,,"Books on social, political and economic issues, in light of Catholic Social Doctrine. Includes catalog of books and contact information.",13-Jun-2001,IHS Press,16200620,0,2,
David Horowitz Freedom Center,Anti-Muslim,http://www.horowitzfreedomcenter.org/,363,,,,horowitzfreedomcenter.org/,1369229,0.01,1.5,DataUrl
Hooligan Street Merch,Hate Music & Neo-Nazi,http://www.hooliganstreetmerch.com/,3,,,,hooliganstreetmerch.com/,,,,
Heterosexuals Organized for a Moral Environment (H.O.M.E.),Anti-LGBT,http://www.home60515.com,84,,,,home60515.com/,5118929,0,2,
Hells Headbangers,Hate Music & Neo-Nazi,http://www.hellsheadbangers.com/,395,,,26-Sep-2001,"Www.Hells Headbangers.Com ~cds, T-shirts/longsleeves, Vinyl, Videos, Tapes",740431,0.02,1.1,"hellsheadbangers.com, OTHER"
Hate Crime Streetwear/Records,Hate Music & Neo-Nazi,http://www.hcstreetwear.net/shop/,4,,,,hcstreetwear.net/shop,4027180,0.01,4,
Legal Immigrants for America,Anti-Immigrant,http://www.golifa.org,,,,,golifa.org/,,,,
Golden State Skinheads/Solidarity,Hate Music & Neo-Nazi,http://www.goldenstateskinheads.net/forum/,,,,,goldenstateskinheads.net/forum,,,,
Golden State Skinheads/Solidarity,Hate Music & Neo-Nazi,http://www.goldenstateskinheads.net/,,,,,goldenstateskinheads.net/,,,,
Westboro Baptist Church,Anti-LGBT,http://www.godhatesfags.com,1122,"{u'OwnedDomain': {u'Domain': u'godhatesamerica.com', u'Title': u'godhatesamerica.com'}}",,22-Jan-1997,Westboro Baptist Church,239773,0.14,2.3,"godhatesfags.com, blogs.godhatesfags.com"
Gilad Atzmon,Holocaust Denial,http://www.gilad.co.uk/,1242,,,11-Aug-1999,Gilad Atzmon,286307,0.11,2.1,DataUrl
Get Some 88,Hate Music & Neo-Nazi,http://www.getsome88.com/,5,,,,getsome88.com/,,,,
Generations with Vision (CO),Anti-LGBT,http://www.generationswithvision.com,67,,,,generationswithvision.com/,,,,
The Free Magnolia,Neo-Confederate,http://www.freemagnolia.org/,9,,,,freemagnolia.org/,,,,
Foundation for the Marketplace of Ideas,White Nationalist,http://www.freedomfront.org/,27,,,,freedomfront.org/,1786700,0.01,1.7,DataUrl
Family Research Council,Anti-LGBT,http://www.frc.org,2799,"{u'OwnedDomain': [{u'Domain': u'frcaction.org', u'Title': u'frcaction.org'}, {u'Domain': u'justicesunday.com', u'Title': u'justicesunday.com'}]}",To reaffirm and promote the traditional family unit and the Judeo-Christian value system upon which it is built,08-Mar-1995,Family Research Council,191331,0.15,1.7,"frc.org, downloads.frc.org"
Focal Point Publications,Holocaust Denial,http://www.fpp.co.uk/,1646,,"A Revisionist portal with graphics, images, articles, audio and video denying Jewish Holocaust, questioning racial integration, and challenging U.S. foreign policy.",10-Jan-1998,David Irving's Action Report,278211,0.1,1.9,DataUrl
Fortress of Faith,Anti-Muslim,http://www.fortressoffaith.org/,45,,,,fortressoffaith.org/,,,,
"Fatima Crusader, The/International Fatima Rosary Crusade",Rad Catholics,http://www.fatimacrusader.com/,283,"{u'OwnedDomain': [{u'Domain': u'fatimaperspectives.com', u'Title': u'fatimaperspectives.com'}, {u'Domain': u'fatimaradio.org', u'Title': u'fatimaradio.org'}, {u'Domain': u'fatimarosaryrallies.com', u'Title': u'fatimarosaryrallies.com'}, {u'Domain': u'heavenspeaceplan.com', u'Title': u'heavenspeaceplan.com'}]}",,27-Mar-2003,fatimacrusader.com/,1593154,0.01,1.4,DataUrl
Family Watch International,Anti-LGBT,http://www.familywatchinternational.org,149,,,,familywatchinternational.org/,3739212,0,1.7,DataUrl
Family Research Institute,Anti-LGBT,http://www.familyresearchinst.org,218,,,19-May-1999,familyresearchinst.org/,3004712,0,1,DataUrl
Faithful Word Baptist Church (AZ),Anti-LGBT,http://www.faithfulwordbaptist.org,311,,"Information on pastor, service schedules, beliefs, sermons, a church directory, and written essays.",,Faithful Word Baptist Church,461909,0.06,2.3,DataUrl
Faith Freedom,Anti-Muslim,http://www.faithfreedom.org/,2694,"{u'OwnedDomain': {u'Domain': u'secularislam.org', u'Title': u'secularislam.org'}}","Faithfreedom.org echoes the voice of ex-Muslims who want to stop the spread of Islam, expose its violent nature, and help Muslims to understand it and leave it. We believe in the oneness of humanity and oppose Islam for inciting hatred against non Muslims. Muhammad instructed his follower to conquer the world by the sword and to rule it with terror. We are determined to not let that happen.",26-Oct-2001,Faith Freedom International,376273,0.23,9.6,"faithfreedom.org, indonesia.faithfreedom.org, OTHER"
Federation for American Immigration Reform,Anti-Immigrant,http://www.fairus.org,1503,,"Seeks to improve border security, to stop illegal immigration, and to promote immigration levels consistent with the national interest, at about 300,000 a year. Includes news, publications, resources, legislation and how to take action.",15-Mar-1995,Federation for American Immigration Reform,260083,0.09,1.3,"fairus.org, OTHER"
Faith2Action,Anti-LGBT,http://www.f2a.org,134,,,25-Jul-2002,f2a.org/,11586415,0,2,
Sicarii 1715,Black Nationalist,http://www.exodus1715.info/,1,,,,exodus1715.info/,3969916,0,2,
East Coast Knights,KKK,http://www.eastcoastknightsofthetrueinvisibleempire.com/,2,,,,eastcoastknightsofthetrueinvisibleempire.com/,6217740,0,1,
European-American Evangelistic Crusades,General Hate,http://www.eaec.org/,388,,,25-Jul-1997,eaec.org/,739772,0.03,1.7,DataUrl
D. James Kennedy Ministries,Anti-LGBT,http://www.djameskennedy.org,45,,"D. James Kennedy's television, radio, and print outreach with Real Audio streams of weekly messages, devotionals and study guides.",,Truth In Action Ministries,1136219,0.02,1.6,"djameskennedy.org, OTHER"
League of the South,Neo-Confederate,http://www.dixienet.org/,350,,Organization promoting Southern independence.,16-Oct-1995,League of the South,1693091,0.01,2.5,
Deir Yassin Remembered,Holocaust Denial,http://www.deiryassin.org/,349,,"Organisation founded to do justice to the victims of the massacre. Historical information, with news and details of current events and memorials.",13-Aug-1996,Deir Yassin Remembered,3433179,0,1,
Abiding Truth Ministries,Anti-LGBT,http://www.defendthefamily.com,247,,,15-Mar-2003,defendthefamily.com/,3139309,0,1,
Christian Anti-Defamation Commission,General Hate,http://www.defendchristians.org/,58,,,,defendchristians.org/,,,,
Death Oracle Productions,Hate Music & Neo-Nazi,http://www.deathoracle.bigcartel.com/,3,,,,deathoracle.bigcartel.com/,,,,
Culture Wars/Fidelity Press,Rad Catholics,http://www.culturewars.com/,554,,"Independent monthly Catholic magazine about faith and modern culture. Subscription information, selected articles available online.",17-Jan-1997,Culture Wars,941032,0.02,1.6,DataUrl
Cultural Studies Press,General Hate,http://www.culturalstudiespress.com/,8,,,,culturalstudiespress.com/,12122372,0,2,
Conservative Republicans of Texas,Anti-LGBT,http://www.crtpac.com,32,,,,crtpac.com/,,,,
Crew38 & Hammerskin Nation forum,Hate Music & Neo-Nazi,http://www.crew38.com/forum38/forum.php,45,,,22-Mar-2006,crew38.com/forum38/forum.php,1976395,0.01,2.5,
Covenant People's Ministry,Christian Identity,http://www.covenantpeoplesministry.org/,126,,"Covenant People’s Ministry is led by Pastor Jeromy John Visser and is the web presence of Covenant People’s Church. Our site features audio sermons, books, topical studies, forums, Biblical discussion and numerous Christian links. Swing by today!",19-Feb-2005,Covenant People s Ministry,7080172,0,1,
Counter-Currents,White Nationalist,http://www.counter-currents.com/,1498,,,,counter-currents.com/,128702,0.27,1.9,"counter-currents.com, cdn.counter-currents.com"
Pass the Salt Ministries,Anti-LGBT,http://www.coachdavelive.com,24,,,19-May-2004,coachdavelive.com/,1806418,0.01,2.0,
Church of the National Knights of the Ku Klux Klan,KKK,http://www.cnkkkk.net/,1,,,,cnkkkk.net/,,,,
Clarion Project,Anti-Muslim,http://www.clarionproject.org/,1641,,,,clarionproject.org/,126573,0.27,1.8,"clarionproject.org, faithkeepers.clarionproject.org, OTHER"
Citizen Warrior,Anti-Muslim,http://www.citizenwarrior.com/,449,,,,citizenwarrior.com/,2161443,0.01,1.8,DataUrl
Center for Immigration Studies,Anti-Immigrant,http://www.cis.org,2887,,"Pro-immigrant, low-immigration think-tank which seeks fewer immigrants but a warmer welcome for those admitted.",01-May-1995,Center for Immigration Studies,148749,0.18,1.4,DataUrl
Church of Israel,Christian Identity,http://www.churchofisrael.org/,9,,,,churchofisrael.org/,4318336,0,4,
Chick Publications,General Hate,http://www.chick.com/,2746,,Writer and publisher of cartoon religious tracts. Online comics and ordering.,04-Oct-1995,Chick Publications,141546,0.36,3.4,"chick.com, OTHER"
Stomp Out Child Abuse Compilation,Hate Music & Neo-Nazi,http://www.chesterstomp.com/store.html,,,,,chesterstomp.com/store.html,,,,
Chalcedon Foundation,Anti-LGBT,http://www.chalcedon.edu,547,,"A Christian educational organization founded by Reconstruction's leading proponent, R.J. Rushdoony.",03-May-1995,Chalcedon Foundation,605511,0.03,1.6,DataUrl
"Catholic Family News/Catholic Family Ministries, Inc.",Rad Catholics,http://www.cfnews.org/,567,"{u'OwnedDomain': [{u'Domain': u'askthelifecoach.net', u'Title': u'askthelifecoach.net'}, {u'Domain': u'fbclubbock.com', u'Title': u'fbclubbock.com'}, {u'Domain': u'harmonytherapeutic.com', u'Title': u'harmonytherapeutic.com'}, {u'Domain': u'lumengentleman.com', u'Title': u'lumengentleman.com'}, {u'Domain': u'm13.net', u'Title': u'm13.net'}, {u'Domain': u'metroplexhomes.com', u'Title': u'metroplexhomes.com'}, {u'Domain': u'monarchresources.com', u'Title': u'monarchresources.com'}, {u'Domain': u'ntnl.org', u'Title': u'ntnl.org'}, {u'Domain': u'paulvenable.com', u'Title': u'paulvenable.com'}, {u'Domain': u'retailmanagement.com', u'Title': u'retailmanagement.com'}, {u'Domain': u'ryadon.com', u'Title': u'ryadon.com'}, {u'Domain': u'smilesofwesttexas.com', u'Title': u'smilesofwesttexas.com'}, {u'Domain': u'somewherequiet.org', u'Title': u'somewherequiet.org'}, {u'Domain': u'sundownrecoverycenter.com', u'Title': u'sundownrecoverycenter.com'}, {u'Domain': u'worldrealtyonline.net', u'Title': u'worldrealtyonline.net'}, {u'Domain': u'zonedeplasir.com', u'Title': u'zonedeplasir.com'}]}",,10-Apr-2004,cfnews.org/,2112544,0.01,1.5,DataUrl
Citizens for Community Values,Anti-LGBT,http://www.ccv.org,118,,"To promote Judeo-Christian moral values and to reduce destructive behaviors contrary to those values through education, active community partnering, and empowering individuals at the local and national level.",30-Jul-1996,Citizens For Community Values,6201710,0,1,
Concerned Citizens and Friends of Illegal Immigration Law Enforcement,General Hate,http://www.ccfiile.com/,54,,,,ccfiile.com/,6455872,0,1,
Catholic Counterpoint,Rad Catholics,http://www.catholiccounterpoint.com/,14,,,18-Jan-1996,Catholic Counterpoint - Catholic Counterpoint - Traditional Roman Catholic,,0,1,
Californians for Population Stabilization,Anti-Immigrant,http://www.capsweb.org,208,,"Promotes policies and programs designed to stabilize the population at a level to preserve a good quality of life for all Californians. Covers issues, news and how to join.",18-Jul-2002,Californians for Population Stabilization,2075602,0.01,1.6,DataUrl
Colorado Alliance for Immigration Reform,Anti-Immigrant,http://www.cairco.org,169,"{u'OwnedDomain': [{u'Domain': u'desertinvasion.us', u'Title': u'desertinvasion.us'}, {u'Domain': u'ecofuture.org', u'Title': u'ecofuture.org'}]}","A non-profit organization concerned with population growth and the devastating effects that growth will have on the future of the nation. Highlighting issues, economic issues, and smart growth alternatives.",08-Aug-2002,Colorado Alliance for Immigration Reform,1559218,0.01,1.0,DataUrl
Center for Family and Human Rights (C-Fam),Anti-LGBT,http://www.c-fam.org,731,"{u'OwnedDomain': [{u'Domain': u'citibankmastercard.com', u'Title': u'citibankmastercard.com'}, {u'Domain': u'rudolphtherednosedreindeer.com', u'Title': u'rudolphtherednosedreindeer.com'}, {u'Domain': u'themisfits.com', u'Title': u'themisfits.com'}]}",,24-May-1999,c-fam.org/,768502,0.03,1.5,DataUrl
American Defense Records,Hate Music & Neo-Nazi,http://www.bulldogaggression.com/,1,,,,bulldogaggression.com/,,,,
"Campus Ministry, USA, The",Anti-LGBT,http://www.brojed.org,57,"{u'OwnedDomain': [{u'Domain': u'data-mgmt-consultants.com', u'Title': u'data-mgmt-consultants.com'}, {u'Domain': u'kcoperuoss.com', u'Title': u'kcoperuoss.com'}]}",,11-Jun-1997,"For Brother Jed Smock, Foremost Campus Evangelist In The Usa",6827924,0,1,
Borderkeepers of Alabama,Anti-Immigrant,http://www.borderkeepersofalabama.org,3,,,,borderkeepersofalabama.org/,,,,
Bomb Islam,Anti-Muslim,http://www.bombislam.com/,5,,,28-Jan-2006,bombislam.com/,8703746,0,1,
Radio Jihad/Global Patriot Radio,Anti-Muslim,http://www.blogtalkradio.com/global-patriot-radio,33639,,Blog Talk Radio is the world’s largest social radio network. Create your own internet radio show. Listen to thousands internet radio shows and podcasts live each day.,16-May-2006,"Internet Radio | Blog Talk Radio |  Tune In, Create Your Own Show",24802,2.28,2.58,"blogtalkradio.com, secure.blogtalkradio.com, my.blogtalkradio.com, sb.blogtalkradio.com, help.blogtalkradio.com, blog.blogtalkradio.com, socialize.blogtalkradio.com, percolate.blogtalkradio.com, OTHER"
Bare Naked Islam,Anti-Muslim,http://www.barenakedislam.com/,2168,,,,barenakedislam.com/,100136,0.32,1.5,DataUrl
Battalion 14,Hate Music & Neo-Nazi,http://www.b14usa.org/,1,,,,b14usa.org/,,,,
www.awsnetwork.org,Hate Music & Neo-Nazi,http://www.awsnetwork.org,18,,,,awsnetwork.org/,,,,
ATLAH World Missionary Church,Anti-LGBT,http://www.atlah.org,229,,Church,07-May-1999,ATLAH - World Ministries,2015924,0.01,2.5,DataUrl
Aryan Terror Brigade,Hate Music & Neo-Nazi,http://www.atb318.com/,3,,,,atb318.com/,,,,
Aryan Strikeforce,Hate Music & Neo-Nazi,http://www.aryanstrikeforce318.org/,2,,,,aryanstrikeforce318.org/,10044537,0,1,
www.aryanblood.net/,Hate Music & Neo-Nazi,http://www.aryanblood.net/,3,,,,aryanblood.net/,,,,
Aryan Nations - Louisiana,Hate Music & Neo-Nazi,http://www.aryan-nations.org/,68,"{u'OwnedDomain': {u'Domain': u'whitepowerradio.com', u'Title': u'whitepowerradio.com'}}",,15-Sep-2000,aryan-nations.org/,8214704,0,1,
www.aryan-nation.org/forum/,Hate Music & Neo-Nazi,http://www.aryan-nation.org/forum/,43,,,,aryan-nation.org/forum,7074523,0,2,
www.aryan-nation.org/,Hate Music & Neo-Nazi,http://www.aryan-nation.org/,43,,,,aryan-nation.org/,7074523,0,2,
Antipathy Records,Hate Music & Neo-Nazi,http://www.antipathyrecords.com/,3,,,,antipathyrecords.com/,10117121,0,3,
