Group,Ideology,Website,ExternalLinksToSite,OwnersOtherDomains,SiteDescription,OnlineSince,SiteTitle,ThreeMonthAvgUSRank,PageViewsPerMillion,PageViewsPerUser,ContributingSubdomains,HighestRankSitesLinkingTo
MassResistance,Anti-LGBT,http://www.massresistance.org,811,,"MassResistance officially organized in 1995 as Parents&apos; Rights Coalition , although it had been active both locally and state-wide since 1993. In 2003, under the name Article 8 Alliance , it expanded to issues surrounding the same-sex &quot;marriage&quot; court ruling and its effects in Massachusetts. In 2006, these efforts were consolidated under the new name &quot;MassResistance .&quot; We have been the leading pro-family grassroots activist group in Massachusetts.",21-Apr-2005,MassResistance!,782130,0.02,1.4,massresistance.org,
Liberty Counsel,Anti-LGBT,http://www.lc.org,883,,"If you are not automatically redirected, please click here to go to the new page. ... Counsel is a nonprofit litigation, education and policy organization dedicated to advancing religious freedom, the sanctity of human life and the traditional family. Established in 1989, Liberty Counsel is a nationwide organization with offices in Florida, Virginia, and Washington, D.C., and hundreds of affiliate attorneys across the Nation. ...",03-May-1996,Lc.org,1340385,0.01,1.2,lc.org,
Label 56,Hate Music & Neo-Nazi,http://www.label56.com/,49,,,,Label 56 - Independent Music for Independent Minds,3498744,0,2,label56.com,
Knights of the White Disciples,KKK,http://www.knightsofthewhitedisciples.com,1,,,,knightsofthewhitedisciples.com/,,,,,
Patriotic Brigade Knights of the Ku Klux Klan,KKK,http://www.knightskkk.net/,1,,,,knightskkk.net/,,,,,
Loyal White Knights of the Ku Klux Klan,KKK,http://www.kkkknights.com/,120,,,,kkkknights.com/,1220656,0.01,1.1,,
Kingdom Identity Ministries,Christian Identity,http://www.kingidentity.com/,97,,"Describing itself as an outreach ministry to God's chosen white European people. Includes doctrinal statement and sales of books, audio, and video tapes.",21-Oct-1996,Kingdom Identity Ministries,3366667,0,2,,
Jewish Defense League,General Hate,http://www.jdl.org/,201,"irvrubin.com, jewishdefenseleague.org",,15-May-1996,jdl.org/,4562660,0,2,,
Yahweh's Truth,Christian Identity,http://www.jameswickstrom.com/Blog/,38,,,29-Dec-2001,jameswickstrom.com/Blog,7122147,0,2,,
Yahweh's Truth,Christian Identity,http://www.jameswickstrom.com/,38,,,29-Dec-2001,jameswickstrom.com/,7122147,0,2,,
Israelite School of Universal Practical Knowledge,Black Nationalist,http://www.isupk.org/,6,,,,isupk.org/,9549437,0,2,,
ISD Records,Hate Music & Neo-Nazi,http://www.isdrecords.com/,26,"ainaskin.com, bloodandhonour-usa.com, bloodandhonour.net, combat18.org, girlsyouth.com, kriegsberichter.com, ns88.com, ns88.org, salemfonden.info, skrewdriverdvd.com",,01-Jun-2004,ISD Records,13579910,0,1,,
Iron Clad Records,Hate Music & Neo-Nazi,http://www.ironcladrecords.com/,6,,,,ironcladrecords.com/,,,,,
Immigration Reform Law Institute,Anti-Immigrant,http://www.irli.org,121,,,,irli.org/,,0.01,1.2,irli.org,
Insight USA,General Hate,http://www.insightusa.us/,4,,,,insightusa.us/,,,,,
Inconvenient Truth,Holocaust Denial,http://www.inconvenienthistory.com,237,,,,inconvenienthistory.com/,1622017,0.01,1.8,inconvenienthistory.com,
American Immigration Control Foundation,Anti-Immigrant,http://www.immigrationcontrol.com,58,,,20-Apr-2000,immigrationcontrol.com/,17934057,0,2,,
Illinois Family Institute,Anti-LGBT,http://www.illinoisfamily.org,340,,"A non-profit organization that provides resources to families and encourage public policy to support families; features include weekly legislation update, policy watch and resources.",03-Sep-1999,Illinois Family Institute,916320,0.02,1.3,illinoisfamily.org,
International Keystone Knights of the Ku Klux Klan,KKK,http://www.ikkkkk.org/,9,,,,ikkkkk.org/,4491314,0,3,,
III% Security Force,Anti-Muslim,http://www.iiisecurityforce.com/,10,,,,iiisecurityforce.com/,3254780,0,2,iiisecurityforce.com,
IHS Press,Rad Catholics,http://www.ihspress.com/index1.htm,133,,"Books on social, political and economic issues, in light of Catholic Social Doctrine. Includes catalog of books and contact information.",13-Jun-2001,IHS Press,16190074,0,2,,
David Horowitz Freedom Center,Anti-Muslim,http://www.horowitzfreedomcenter.org/,363,,"Los Angeles-based center founded by David Horowitz, formerly the Center for the Study of Popular Culture.",,David Horowitz Freedom Center,1389414,0.01,1.5,horowitzfreedomcenter.org,
Hooligan Street Merch,Hate Music & Neo-Nazi,http://www.hooliganstreetmerch.com/,3,,,,hooliganstreetmerch.com/,,,,,
Heterosexuals Organized for a Moral Environment (H.O.M.E.),Anti-LGBT,http://www.home60515.com,84,,,,home60515.com/,5115643,0,2,,
Hells Headbangers,Hate Music & Neo-Nazi,http://www.hellsheadbangers.com/,395,,,26-Sep-2001,"Www.Hells Headbangers.Com ~cds, T-shirts/longsleeves, Vinyl, Videos, Tapes",741860,0.02,1.1,"hellsheadbangers.com, OTHER",
Hate Crime Streetwear/Records,Hate Music & Neo-Nazi,http://www.hcstreetwear.net/shop/,4,,,,hcstreetwear.net/shop,3376570,0.01,6,,
Legal Immigrants for America,Anti-Immigrant,http://www.golifa.org,,,,,golifa.org/,,,,,
Golden State Skinheads/Solidarity,Hate Music & Neo-Nazi,http://www.goldenstateskinheads.net/forum/,,,,,goldenstateskinheads.net/forum,,,,,
Golden State Skinheads/Solidarity,Hate Music & Neo-Nazi,http://www.goldenstateskinheads.net/,,,,,goldenstateskinheads.net/,,,,,
Westboro Baptist Church,Anti-LGBT,http://www.godhatesfags.com,1122,godhatesamerica.com,,22-Jan-1997,Westboro Baptist Church,241155,0.14,2.2,"godhatesfags.com, blogs.godhatesfags.com",
Gilad Atzmon,Holocaust Denial,http://www.gilad.co.uk/,1242,,,11-Aug-1999,Gilad Atzmon,281150,0.11,2.1,gilad.co.uk,
Get Some 88,Hate Music & Neo-Nazi,http://www.getsome88.com/,5,,,,getsome88.com/,,,,,
Generations with Vision (CO),Anti-LGBT,http://www.generationswithvision.com,67,,,,generationswithvision.com/,,,,,
The Free Magnolia,Neo-Confederate,http://www.freemagnolia.org/,9,,,,freemagnolia.org/,,,,,
Foundation for the Marketplace of Ideas,White Nationalist,http://www.freedomfront.org/,27,,,,freedomfront.org/,1785570,0.01,1.7,freedomfront.org,
Family Research Council,Anti-LGBT,http://www.frc.org,2799,"frcaction.org, justicesunday.com",To reaffirm and promote the traditional family unit and the Judeo-Christian value system upon which it is built,08-Mar-1995,Family Research Council,189443,0.16,1.7,"frc.org, downloads.frc.org",
Focal Point Publications,Holocaust Denial,http://www.fpp.co.uk/,1646,,"A Revisionist portal with graphics, images, articles, audio and video denying Jewish Holocaust, questioning racial integration, and challenging U.S. foreign policy.",10-Jan-1998,David Irving's Action Report,276598,0.11,1.9,fpp.co.uk,
Fortress of Faith,Anti-Muslim,http://www.fortressoffaith.org/,45,,,,fortressoffaith.org/,,,,,
"Fatima Crusader, The/International Fatima Rosary Crusade",Rad Catholics,http://www.fatimacrusader.com/,283,"fatimaperspectives.com, fatimaradio.org, fatimarosaryrallies.com, heavenspeaceplan.com",,27-Mar-2003,fatimacrusader.com/,1604634,0.01,1.4,fatimacrusader.com,
Family Watch International,Anti-LGBT,http://www.familywatchinternational.org,149,,,,familywatchinternational.org/,3928747,0,1.6,familywatchinternational.org,
Family Research Institute,Anti-LGBT,http://www.familyresearchinst.org,218,,,19-May-1999,familyresearchinst.org/,3002892,0,1,familyresearchinst.org,
Faithful Word Baptist Church (AZ),Anti-LGBT,http://www.faithfulwordbaptist.org,311,,"Information on pastor, service schedules, beliefs, sermons, a church directory, and written essays.",,Faithful Word Baptist Church,462287,0.06,2.3,faithfulwordbaptist.org,
Faith Freedom,Anti-Muslim,http://www.faithfreedom.org/,2694,secularislam.org,"Faithfreedom.org echoes the voice of ex-Muslims who want to stop the spread of Islam, expose its violent nature, and help Muslims to understand it and leave it. We believe in the oneness of humanity and oppose Islam for inciting hatred against non Muslims. Muhammad instructed his follower to conquer the world by the sword and to rule it with terror. We are determined to not let that happen.",26-Oct-2001,Faith Freedom International,388349,0.22,9.3,"faithfreedom.org, indonesia.faithfreedom.org, OTHER",
Federation for American Immigration Reform,Anti-Immigrant,http://www.fairus.org,1503,,,15-Mar-1995,Federation for American Immigration Reform,259091,0.09,1.3,"fairus.org, OTHER",
Faith2Action,Anti-LGBT,http://www.f2a.org,134,,,25-Jul-2002,f2a.org/,11577089,0,2,,
Sicarii 1715,Black Nationalist,http://www.exodus1715.info/,1,,,,exodus1715.info/,3967174,0,2,,
East Coast Knights,KKK,http://www.eastcoastknightsofthetrueinvisibleempire.com/,2,,,,eastcoastknightsofthetrueinvisibleempire.com/,6213257,0,1,,
European-American Evangelistic Crusades,General Hate,http://www.eaec.org/,388,,,25-Jul-1997,eaec.org/,735848,0.03,1.7,eaec.org,
D. James Kennedy Ministries,Anti-LGBT,http://www.djameskennedy.org,45,,"D. James Kennedy's television, radio, and print outreach with Real Audio streams of weekly messages, devotionals and study guides.",,Truth In Action Ministries,1124157,0.02,1.7,"djameskennedy.org, OTHER",
League of the South,Neo-Confederate,http://www.dixienet.org/,350,,Organization promoting Southern independence.,16-Oct-1995,League of the South,1692057,0.01,2.5,,
Deir Yassin Remembered,Holocaust Denial,http://www.deiryassin.org/,349,,"Organisation founded to do justice to the victims of the massacre. Historical information, with news and details of current events and memorials.",13-Aug-1996,Deir Yassin Remembered,3431190,0,1,,
Abiding Truth Ministries,Anti-LGBT,http://www.defendthefamily.com,247,,,15-Mar-2003,defendthefamily.com/,3137270,0,1,,
Christian Anti-Defamation Commission,General Hate,http://www.defendchristians.org/,58,,,,defendchristians.org/,,,,,
Death Oracle Productions,Hate Music & Neo-Nazi,http://www.deathoracle.bigcartel.com/,3,,,,deathoracle.bigcartel.com/,,,,,
Culture Wars/Fidelity Press,Rad Catholics,http://www.culturewars.com/,554,,"Independent monthly Catholic magazine about faith and modern culture. Subscription information, selected articles available online.",17-Jan-1997,Culture Wars,923712,0.02,1.6,culturewars.com,
Cultural Studies Press,General Hate,http://www.culturalstudiespress.com/,8,,,,culturalstudiespress.com/,12112637,0,2,,
Conservative Republicans of Texas,Anti-LGBT,http://www.crtpac.com,32,,,,crtpac.com/,,,,,
Crew38 & Hammerskin Nation forum,Hate Music & Neo-Nazi,http://www.crew38.com/forum38/forum.php,45,,,22-Mar-2006,crew38.com/forum38/forum.php,1975305,0.01,2.5,,
Covenant People's Ministry,Christian Identity,http://www.covenantpeoplesministry.org/,126,,"Covenant People’s Ministry is led by Pastor Jeromy John Visser and is the web presence of Covenant People’s Church. Our site features audio sermons, books, topical studies, forums, Biblical discussion and numerous Christian links. Swing by today!",19-Feb-2005,Covenant People s Ministry,7073513,0,1,,
Counter-Currents,White Nationalist,http://www.counter-currents.com/,1498,,,,counter-currents.com/,128746,0.27,1.9,"counter-currents.com, cdn.counter-currents.com",
Pass the Salt Ministries,Anti-LGBT,http://www.coachdavelive.com,24,,,19-May-2004,coachdavelive.com/,1805168,0.01,2.0,,
Church of the National Knights of the Ku Klux Klan,KKK,http://www.cnkkkk.net/,1,,,,cnkkkk.net/,,,,,
Clarion Project,Anti-Muslim,http://www.clarionproject.org/,1641,,,,clarionproject.org/,127815,0.27,1.8,"clarionproject.org, faithkeepers.clarionproject.org, OTHER",
Citizen Warrior,Anti-Muslim,http://www.citizenwarrior.com/,449,,,,citizenwarrior.com/,2160255,0.01,1.8,citizenwarrior.com,
Center for Immigration Studies,Anti-Immigrant,http://www.cis.org,2887,,"Pro-immigrant, low-immigration think-tank which seeks fewer immigrants but a warmer welcome for those admitted.",01-May-1995,Center for Immigration Studies,148132,0.18,1.4,cis.org,
Church of Israel,Christian Identity,http://www.churchofisrael.org/,9,,,,churchofisrael.org/,4315893,0,4,,
Chick Publications,General Hate,http://www.chick.com/,2746,,Writer and publisher of cartoon religious tracts. Online comics and ordering.,04-Oct-1995,Chick Publications,142096,0.36,3.4,"chick.com, OTHER",
Stomp Out Child Abuse Compilation,Hate Music & Neo-Nazi,http://www.chesterstomp.com/store.html,,,,,chesterstomp.com/store.html,,,,,
Chalcedon Foundation,Anti-LGBT,http://www.chalcedon.edu,547,,"A Christian educational organization founded by Reconstruction's leading proponent, R.J. Rushdoony.",03-May-1995,Chalcedon Foundation,628694,0.03,1.7,chalcedon.edu,
"Catholic Family News/Catholic Family Ministries, Inc.",Rad Catholics,http://www.cfnews.org/,567,"askthelifecoach.net, fbclubbock.com, harmonytherapeutic.com, lumengentleman.com, m13.net, metroplexhomes.com, monarchresources.com, ntnl.org, paulvenable.com, retailmanagement.com, ryadon.com, smilesofwesttexas.com, somewherequiet.org, sundownrecoverycenter.com, worldrealtyonline.net, zonedeplasir.com",,10-Apr-2004,cfnews.org/,2045414,0.01,1.5,cfnews.org,
Citizens for Community Values,Anti-LGBT,http://www.ccv.org,118,,"To promote Judeo-Christian moral values and to reduce destructive behaviors contrary to those values through education, active community partnering, and empowering individuals at the local and national level.",30-Jul-1996,Citizens For Community Values,6197137,0,1,,
Concerned Citizens and Friends of Illegal Immigration Law Enforcement,General Hate,http://www.ccfiile.com/,54,,,,ccfiile.com/,6449560,0,1,,
Catholic Counterpoint,Rad Catholics,http://www.catholiccounterpoint.com/,14,,,18-Jan-1996,Catholic Counterpoint - Catholic Counterpoint - Traditional Roman Catholic,10616113,0,1,,
Californians for Population Stabilization,Anti-Immigrant,http://www.capsweb.org,208,,,18-Jul-2002,Californians for Population Stabilization,2074340,0.01,1.6,capsweb.org,
Colorado Alliance for Immigration Reform,Anti-Immigrant,http://www.cairco.org,169,"desertinvasion.us, ecofuture.org","A non-profit organization concerned with population growth and the devastating effects that growth will have on the future of the nation. Highlighting issues, economic issues, and smart growth alternatives.",08-Aug-2002,Colorado Alliance for Immigration Reform,1582254,0.01,1.0,cairco.org,
Center for Family and Human Rights (C-Fam),Anti-LGBT,http://www.c-fam.org,731,"citibankmastercard.com, rudolphtherednosedreindeer.com, themisfits.com",,24-May-1999,c-fam.org/,756768,0.03,1.5,c-fam.org,
American Defense Records,Hate Music & Neo-Nazi,http://www.bulldogaggression.com/,1,,,,bulldogaggression.com/,,,,,
"Campus Ministry, USA, The",Anti-LGBT,http://www.brojed.org,57,"data-mgmt-consultants.com, kcoperuoss.com",,11-Jun-1997,"For Brother Jed Smock, Foremost Campus Evangelist In The Usa",6821184,0,1,,
Borderkeepers of Alabama,Anti-Immigrant,http://www.borderkeepersofalabama.org,3,,,,borderkeepersofalabama.org/,,,,,
Bomb Islam,Anti-Muslim,http://www.bombislam.com/,5,,,28-Jan-2006,bombislam.com/,8696395,0,1,,
Radio Jihad/Global Patriot Radio,Anti-Muslim,http://www.blogtalkradio.com/global-patriot-radio,33639,,Blog Talk Radio is the world’s largest social radio network. Create your own internet radio show. Listen to thousands internet radio shows and podcasts live each day.,16-May-2006,"Internet Radio | Blog Talk Radio |  Tune In, Create Your Own Show",24812,2.27,2.56,"blogtalkradio.com, secure.blogtalkradio.com, my.blogtalkradio.com, sb.blogtalkradio.com, help.blogtalkradio.com, blog.blogtalkradio.com, socialize.blogtalkradio.com, percolate.blogtalkradio.com, OTHER",
Bare Naked Islam,Anti-Muslim,http://www.barenakedislam.com/,2168,,,,barenakedislam.com/,101073,0.32,1.6,barenakedislam.com,
Battalion 14,Hate Music & Neo-Nazi,http://www.b14usa.org/,1,,,,b14usa.org/,,,,,
www.awsnetwork.org,Hate Music & Neo-Nazi,http://www.awsnetwork.org,18,,,,awsnetwork.org/,,,,,
ATLAH World Missionary Church,Anti-LGBT,http://www.atlah.org,229,,Church,07-May-1999,ATLAH - World Ministries,2014864,0.01,2.5,atlah.org,
Aryan Terror Brigade,Hate Music & Neo-Nazi,http://www.atb318.com/,3,,,,atb318.com/,,,,,
Aryan Strikeforce,Hate Music & Neo-Nazi,http://www.aryanstrikeforce318.org/,2,,,,aryanstrikeforce318.org/,10036864,0,1,,
www.aryanblood.net/,Hate Music & Neo-Nazi,http://www.aryanblood.net/,3,,,,aryanblood.net/,,,,,
Aryan Nations - Louisiana,Hate Music & Neo-Nazi,http://www.aryan-nations.org/,68,whitepowerradio.com,,15-Sep-2000,aryan-nations.org/,8207819,0,1,,
www.aryan-nation.org/forum/,Hate Music & Neo-Nazi,http://www.aryan-nation.org/forum/,43,,,,aryan-nation.org/forum,7067924,0,2,,
www.aryan-nation.org/,Hate Music & Neo-Nazi,http://www.aryan-nation.org/,43,,,,aryan-nation.org/,7067924,0,2,,
Antipathy Records,Hate Music & Neo-Nazi,http://www.antipathyrecords.com/,3,,,,antipathyrecords.com/,10109582,0,3,,
United Riot Records,Hate Music & Neo-Nazi,http://www.angelfire.com/indie/unitedriotrecords/frameset.html,89725,"gamesville.com, getrelevant.com, getrelevent.com, goaescorts.com, gujaratescorts.com, hotbot.com, hotwired.com, hyderabadescorts.com, indiasexguide.org, lycos.com, lycosqa.com, mailcity.com, matchmaker.com, puneescorts.com, ragingbull.com, sonique.com, tripod.com, tripod.net, webmonkey.com, whowhere.com, wired.com, wiredstore.net",,15-Oct-1998,angelfire.com/indie/unitedriotrecords/frameset.html,10436,4.24,1.68,"angelfire.com, dawn666blacksun.angelfire.com, tmsexymaria.angelfire.com, sbradyman.angelfire.com, enricks.angelfire.com, seoteknikleri.angelfire.com, apostoladosagradoscoracoes.angelfire.com, hemaruce.angelfire.com, zhra.angelfire.com, OTHER",
American Renaissance,White Nationalist,http://www.amren.com/,1813,,A conservative publication. Promotes a variety of white racial positions.,11-Aug-1995,American Renaissance,67688,0.7,2.5,"amren.com, store.amren.com",
America's Promise Ministries,Christian Identity,http://www.americaspromiseministries.org/,6,,,,americaspromiseministries.org/,10843685,0,1,,
American Vision,Anti-LGBT,http://www.americanvision.org,877,,Current events analysis from a Reformed Christian perspective.,30-Jun-1998,The American Vision,265632,0.11,2.0,"americanvision.org, store.americanvision.org",
Americans for Truth about Homosexuality,Anti-LGBT,http://www.americansfortruth.com,673,,Countering the homosexual activist agenda with opinion and commentary.,17-Feb-1998,Americans For Truth!,1413900,0.01,1.8,americansfortruth.com,
American Nazi Party,Hate Music & Neo-Nazi,http://www.americannaziparty.com/,249,,"The American Nazi Party is a Political-Educational Association, dedicated to the 14 WORDS. We are committed to bringing American National Socialism, first created and embodied by our late Commander George Lincoln Rockwell, out of the past Phase One activities which at the time served their purpose well, and into the 21 st Century. ...",27-Aug-1999,Americannaziparty.com,497425,0.05,1.8,americannaziparty.com,
American Freedom Law Center,Anti-Muslim,http://www.americanfreedomlawcenter.org/,261,,,,americanfreedomlawcenter.org/,2365254,0,1.2,americanfreedomlawcenter.org,
American Freedom Alliance,Anti-Muslim,http://www.americanfreedomalliance.org/,127,,,,americanfreedomalliance.org/,5919005,0,1,,
American Constitution Center,Anti-Muslim,http://www.americanconstitutioncenter.org/,3,,,,americanconstitutioncenter.org/,6536141,0,2,,
American Clarion,General Hate,http://www.americanclarion.com/,128,,"American values, coming through loud and clear. News and commentary from a Christian, conservative perspective. Featuring exclusive and syndicated content from dozens of authors around the United States.",,American Clarion,5418095,0,2,,
American Border Patrol,Anti-Immigrant,http://www.americanborderpatrol.com,109,,,03-Jun-2002,americanborderpatrol.com/,11075525,0,2,,
Altra Firearms,Anti-Muslim,http://www.altrafirearms.com/,4,,,,altrafirearms.com/,3869881,0.02,20,"store.altrafirearms.com, OTHER",
All Eyes On Egipt Bookstore,Black Nationalist,http://www.alleyesonegiptchgo.webs.com/,1,,,,alleyesonegiptchgo.webs.com/,6140880,0,1,,
Americans for Legal Immigration (ALIPAC),Anti-Immigrant,http://www.alipac.us,778,alipac.org,Addresses the disparity between the public's desire for more control of illegal immigration and the actions of lawmakers. News articles updated daily.,06-Sep-2004,Americans for Legal Immigration - ALIPAC,736107,0.04,2.5,alipac.us,
Tony Alamo Christian Ministries,General Hate,http://www.alamoministries.com/content/english/,182,,,19-Jul-1999,alamoministries.com/content/english,869442,0.02,1.4,alamoministries.com,
Aggressive Christianity,General Hate,http://www.aggressivechristianity.net/,60,,"The Shimrana Ekklesia Community led by James and Deborah Green in Fence Lake, New Mexico. Visions, beliefs, and sermons.",18-Sep-2004,Aggressive Christianity,1306242,0.01,1.3,aggressivechristianity.net,
American Family Association Pennsylvania,Anti-LGBT,http://www.afaofpa.org,63,,,12-May-2003,afaofpa.org/,6870085,0,3,,
American Family Association,Anti-LGBT,http://www.afa.net,1938,"afabama.org, afajournal.org, agapepress.org, nogaymarriage.com, onemilliondads.com, onemillionyouth.com, rallysoft.com, spiritualheritagetours.com, stopliberaljudges.com, themethodistchurch.com",Includes information designed to assist with Christian living on a practical level. The AFA offers many thought provoking articles.,06-Oct-1996,American Family Association,232587,0.11,1.5,"afa.net, OTHER",
All Eyes On Egypt Bookstore,Black Nationalist,http://www.aeoebookstore.com/,7,,,,aeoebookstore.com/,3927756,0,2,,
Alliance Defending Freedom,Anti-LGBT,http://www.adflegal.org,551,,,,adflegal.org/,249935,0.1,1.5,"adflegal.org, OTHER",
Foundation for Advancing Christian Truth,Anti-Muslim,http://www.acts17.net/,128,,,,acts17.net/,1982252,0.01,1.8,acts17.net,
ACT for America,Anti-Muslim,http://www.actforamerica.org/,972,,"Provides American citizens with a means to be a collective voice for the democratic values of Western Civilization, and against the threat of radical Islam.",,ACT for America,448605,0.05,1.6,actforamerica.org,
American College of Pediatricians,Anti-LGBT,http://www.acpeds.org,635,,"Promoting quality education for parents, physicians, and other health professionals. Includes membership details , position statements and educational resources.",10-Sep-2002,American College of Pediatricians,469366,0.05,1.6,acpeds.org,
a2z Publications,General Hate,http://www.a2zpublications.com/,28,kriegbooks.com,,16-Dec-2002,a2zpublications.com/,,,,,
whitereference.blogspot.hu/,Hate Music & Neo-Nazi,http://whitereference.blogspot.hu/,,,,,whitereference.blogspot.hu/,,,,,
whiterabbitradio.net/,Hate Music & Neo-Nazi,http://whiterabbitradio.net/,144,,,,whiterabbitradio.net/,178747,0.18,1.8,whiterabbitradio.net,
White Rabbit Radio,White Nationalist,http://whiterabbitradio.net/,144,,,,whiterabbitradio.net/,178747,0.18,1.8,whiterabbitradio.net,
whitenations.com/,Hate Music & Neo-Nazi,http://whitenations.com/,43,,,,whitenations.com/,1383156,0.02,3.6,whitenations.com,
whitenationalists.com/,Hate Music & Neo-Nazi,http://whitenationalists.com/,1,,,,whitenationalists.com/,,,,,
Werewolf 88,Hate Music & Neo-Nazi,http://werwolf88radio.blogspot.com/,,,,,werwolf88radio.blogspot.com/,,,,,
War On The Horizon,Black Nationalist,http://waronthehorizon.com/,61,,,,waronthehorizon.com/,3326810,0,2,,
Vinland Clothing,Hate Music & Neo-Nazi,http://vinlandclothing.com/,1,,,,vinlandclothing.com/,8879130,0,3,,
Reformation-Bible Puritan-Baptist Church/Vatican Assassins,General Hate,http://vaticanassassins.org/,651,,Book contends that Kennedy died at the hands of the Society of Jesus at the order of its Jesuit General.,22-Mar-2000,Vatican Assassins,1877243,0.01,1.5,,
Vanguard Productions,Hate Music & Neo-Nazi,http://vanguard-productions.com/home/,10,,,,vanguard-productions.com/home,13785934,0,3,,
United Northern and Southern Knights of the Ku Klux Klan,KKK,http://unskkkk.com/,15,,,,unskkkk.com/,2404377,0.01,2.1,,
United Riot Records,Hate Music & Neo-Nazi,http://unitedriotrecords.blogspot.com/,1,,,,unitedriotrecords.blogspot.com/,,,,,
United Riot Records,Hate Music & Neo-Nazi,http://unitedriotrecords.bigcartel.com/,24,,,,unitedriotrecords.bigcartel.com/,9685827,0,3,,
Understanding the Threat,Anti-Muslim,http://understandingthethreat.com/,88,,,,understandingthethreat.com/,969214,0.02,1.8,understandingthethreat.com,
Uncle Sams Misguided Children,Black Nationalist,http://unclesamsmisguidedchildren.com/,96,,,,unclesamsmisguidedchildren.com/,235183,0.12,1.7,"news.unclesamsmisguidedchildren.com, unclesamsmisguidedchildren.com",
Truth Will Out Films,Holocaust Denial,http://truthwillout.tv/,11,,,,truthwillout.tv/,1867334,0.01,2.0,truthwillout.tv,
National Prayer Network,General Hate,http://truthtellers.org/index.html,414,,,19-Sep-2000,The National Prayer Network's,1780638,0.01,1.3,truthtellers.org,
Traditionalist American Knights of the Ku Klux Klan,KKK,http://traditionalistamericanknights.com/,62,,,,traditionalistamericanknights.com/,3451132,0,3,,
Tightrope Records,Hate Music & Neo-Nazi,http://tightrope.cc/catalog/,142,whiterevolution.com,,,tightrope.cc/catalog,461508,0.1,4.2,tightrope.cc,
The Watchman files,Christian Identity,http://thewatermanfiles.com/,27,,,,thewatermanfiles.com/,8032058,0,2,,
"United West, The",Anti-Muslim,http://theunitedwest.org/,183,,,,theunitedwest.org/,5793168,0,1,,
The Right Stuff,White Nationalist,http://therightstuff.biz/,616,,,,therightstuff.biz/,36945,3.17,7.47,"forum.therightstuff.biz, therightstuff.biz, blog.therightstuff.biz",
The Realist Report,Holocaust Denial,http://therealistreport.com/,305,,,,therealistreport.com/,1110695,0.02,1.7,therealistreport.com,
Supreme White Alliance,Hate Music & Neo-Nazi,http://swa43.com/forum/index.php,83,,,,swa43.com/forum,18344105,0,2,,
Supreme White Alliance,Hate Music & Neo-Nazi,http://swa43.com/,83,,,,swa43.com/,18344105,0,2,,
Sultan Knish a blog by Daniel Greenfield,Anti-Muslim,http://sultanknish.blogspot.com/,1600,,,,sultanknish.blogspot.com/,503708,0.04,1.2,sultanknish.blogspot.com,
Invictus Books,General Hate,http://stores.invictusbooks.com/,4,,,,stores.invictusbooks.com/,13613279,0,1,,
Nation Of Islam,Black Nationalist,http://stocktonnoi.wix.com/info#!__stockton---nation-of-islam/contact,,,,,stocktonnoi.wix.com/info%23!__stockton---nation-of-islam/contact,,,,,
Stalhelm Records,Hate Music & Neo-Nazi,http://stahlhelmrecords.tumblr.com/,,,,,stahlhelmrecords.tumblr.com/,11509879,0,2,,
Soldiers Of the Cross Training Institute,KKK,http://sotctraininginstitute.com,1,,,,sotctraininginstitute.com/,,,,,
Holy Nation of Odin,General Hate,http://sonsofodin1519.org/,4,,,,sonsofodin1519.org/,6630849,0,2,,
Sons of Liberty Media (formerly You Can Run But You Cannot Hide),General Hate,http://sonsoflibertymedia.com/,359,,,,sonsoflibertymedia.com/,116657,0.21,1.0,sonsoflibertymedia.com,
Nation of Islam,Black Nationalist,http://shondelenterprise.wix.com/mosque-97#!contact,,,,,shondelenterprise.wix.com/mosque-97%23!contact,,,,,
Sharkhunters International,General Hate,http://sharkhunters.com/,176,,Submarine history with major emphasis on German U-Boats.,03-May-1999,Sharkhunters International Inc.,1716879,0.01,2.1,sharkhunters.com,
Secure Michigan,Anti-Muslim,http://securemichigan.org/,38,,,,securemichigan.org/,13774072,0,1,,
Christogenea,Christian Identity,http://saxonmessenger.christogenea.org/about,318,,Christianity for the Thinking Man,,Christogenea.org,423729,0.08,2.7,"christogenea.org, mk.christogenea.org, boards.christogenea.org, OTHER",
As-Sabiqun,General Hate,http://sabiqun.org/,10,,,,sabiqun.org/,,,,,
"Remnant, The/The Remnant Press",Rad Catholics,http://remnantnewspaper.com/web/index.php,1150,,,28-Aug-2000,remnantnewspaper.com/web,196823,0.16,1.8,remnantnewspaper.com,
Refugee Resettlement Watch,Anti-Muslim,http://refugeeresettlementwatch.wordpress.com/,332,,,,refugeeresettlementwatch.wordpress.com/,407738,0.05,1.2,refugeeresettlementwatch.wordpress.com,
Rebel Brigade Knights of the Ku Klux Klan,KKK,http://rebelbrigadeknightstrueinvisibleempire.yolasite.com,1,,,,rebelbrigadeknightstrueinvisibleempire.yolasite.com/,17395574,0,2,,
Micetrap Distribution,Hate Music & Neo-Nazi,http://radiowhite.net/,,,,19-Aug-2004,radiowhite.net/,,,,,
Ozark Craft LC,General Hate,http://puttroopsontheborder.com/ozarkcraft.html,8,,,,puttroopsontheborder.com/ozarkcraft.html,13538036,0,1,,
Pig Blood Bullets,Anti-Muslim,http://pigbloodbullets.com/,1,,,,pigbloodbullets.com/,,,,,
